,location,size,total_sqft,bath,price,bhk,price_per_sqrt
116,7th Phase JP Nagar,3 BHK,1800.0,3.0,130.0,3,7222.222222222223
117,7th Phase JP Nagar,2 BHK,1050.0,2.0,68.0,2,6476.190476190476
118,7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,2,6000.0
119,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
120,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.47,2,7378.0952380952385
121,7th Phase JP Nagar,2 BHK,1270.0,2.0,80.0,2,6299.212598425197
122,7th Phase JP Nagar,3 BHK,1680.0,3.0,122.0,3,7261.9047619047615
123,7th Phase JP Nagar,2 BHK,1130.0,2.0,85.0,2,7522.123893805309
124,7th Phase JP Nagar,3 BHK,1680.0,3.0,130.0,3,7738.0952380952385
125,7th Phase JP Nagar,3 BHK,1680.0,3.0,112.0,3,6666.666666666667
126,7th Phase JP Nagar,3 BHK,2095.0,3.0,150.0,3,7159.904534606205
127,7th Phase JP Nagar,3 BHK,1976.0,3.0,145.0,3,7338.056680161943
128,7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3,6875.0
129,7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3,6685.552407932011
130,7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3,6901.9607843137255
131,7th Phase JP Nagar,3 BHK,1450.0,2.0,102.0,3,7034.482758620689
132,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
133,7th Phase JP Nagar,1 BHK,750.0,1.0,47.0,1,6266.666666666667
134,7th Phase JP Nagar,1 Bedroom,1000.0,1.0,60.0,1,6000.0
135,7th Phase JP Nagar,3 BHK,1430.0,2.0,102.0,3,7132.867132867133
136,7th Phase JP Nagar,2 BHK,1128.0,2.0,60.0,2,5319.148936170212
138,7th Phase JP Nagar,2 BHK,1530.0,2.0,108.0,2,7058.823529411765
139,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
140,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
141,8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3,5038.487972508591
142,8th Phase JP Nagar,2 BHK,1098.0,2.0,43.91,2,3999.089253187614
143,8th Phase JP Nagar,3 BHK,1800.0,3.0,80.0,3,4444.444444444444
145,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
147,8th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
148,8th Phase JP Nagar,2 BHK,909.0,2.0,40.9,2,4499.4499449945
149,8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3,5031.086273140063
150,8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3,4736.8421052631575
151,8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1,6000.0
152,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
153,8th Phase JP Nagar,3 BHK,1504.0,2.0,83.0,3,5518.617021276596
155,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
156,8th Phase JP Nagar,2 BHK,1513.0,2.0,62.0,2,4097.818902842036
157,8th Phase JP Nagar,2 BHK,1298.0,2.0,59.0,2,4545.454545454545
158,8th Phase JP Nagar,2 BHK,1006.0,2.0,44.0,2,4373.75745526839
159,8th Phase JP Nagar,2 BHK,1245.0,2.0,59.0,2,4738.955823293173
160,8th Phase JP Nagar,2 BHK,1510.0,2.0,80.0,2,5298.013245033113
161,8th Phase JP Nagar,3 BHK,3300.0,3.0,165.0,3,5000.0
162,8th Phase JP Nagar,5 Bedroom,1730.0,5.0,75.0,5,4335.260115606937
163,8th Phase JP Nagar,2 BHK,1046.0,2.0,48.0,2,4588.910133843212
164,8th Phase JP Nagar,3 BHK,1408.0,3.0,80.0,3,5681.818181818182
165,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975.124378109453
166,9th Phase JP Nagar,2 BHK,1100.0,2.0,65.0,2,5909.090909090909
167,9th Phase JP Nagar,2 BHK,1035.0,2.0,45.0,2,4347.826086956522
168,9th Phase JP Nagar,4 BHK,5000.0,4.0,290.0,4,5800.0
169,9th Phase JP Nagar,2 BHK,1164.0,2.0,56.0,2,4810.996563573884
170,9th Phase JP Nagar,2 BHK,1005.0,2.0,42.0,2,4179.104477611941
171,9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,2,4436.557231588287
172,9th Phase JP Nagar,2 BHK,1005.0,2.0,43.0,2,4278.606965174129
173,9th Phase JP Nagar,2 BHK,835.0,2.0,37.0,2,4431.137724550898
174,9th Phase JP Nagar,2 BHK,660.0,2.0,27.0,2,4090.909090909091
175,9th Phase JP Nagar,2 BHK,1466.0,2.0,71.0,2,4843.110504774898
176,9th Phase JP Nagar,3 BHK,1890.0,2.0,93.0,3,4920.6349206349205
177,9th Phase JP Nagar,2 BHK,1079.0,2.0,60.0,2,5560.704355885079
178,9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2,5405.405405405405
179,9th Phase JP Nagar,2 BHK,1073.0,2.0,52.36,2,4879.77632805219
180,9th Phase JP Nagar,3 BHK,1719.3,2.0,88.0,3,5118.362124120282
181,9th Phase JP Nagar,3 BHK,1780.0,3.0,88.0,3,4943.820224719101
182,9th Phase JP Nagar,3 BHK,1522.0,3.0,90.0,3,5913.272010512484
183,9th Phase JP Nagar,2 BHK,890.0,2.0,45.0,2,5056.179775280899
184,9th Phase JP Nagar,4 BHK,5000.0,4.0,300.0,4,6000.0
185,9th Phase JP Nagar,2 BHK,1331.95,2.0,69.0,2,5180.374638687638
186,AECS Layout,2 BHK,1199.0,2.0,65.0,2,5421.184320266889
187,AECS Layout,2 BHK,1080.0,2.0,55.0,2,5092.592592592592
188,AECS Layout,2 BHK,1308.0,2.0,60.0,2,4587.155963302752
189,AECS Layout,2 BHK,1005.0,2.0,55.0,2,5472.636815920398
190,Abbigere,2 BHK,985.0,2.0,40.39,2,4100.507614213198
191,Abbigere,1 BHK,765.0,2.0,30.0,1,3921.5686274509803
192,Abbigere,2 BHK,880.0,2.0,35.0,2,3977.2727272727275
193,Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
194,Abbigere,2 BHK,1005.0,2.0,39.59,2,3939.303482587065
195,Abbigere,2 BHK,1020.0,2.0,41.82,2,4100.0
196,Abbigere,2 BHK,985.0,2.0,40.39,2,4100.507614213198
197,Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
198,Abbigere,2 BHK,1130.0,2.0,46.33,2,4100.0
199,Abbigere,2 BHK,795.0,1.0,32.6,2,4100.62893081761
200,Abbigere,2 BHK,985.0,2.0,38.92,2,3951.269035532995
201,Abbigere,2 BHK,1000.0,2.0,41.0,2,4100.0
202,Abbigere,2 BHK,995.0,2.0,40.8,2,4100.5025125628135
203,Abbigere,2 BHK,1020.0,2.0,40.8,2,3999.9999999999995
204,Akshaya Nagar,2 BHK,1070.0,2.0,54.0,2,5046.728971962617
205,Akshaya Nagar,3 BHK,1662.0,3.0,85.1,3,5120.336943441636
206,Akshaya Nagar,3 BHK,1410.0,2.0,75.0,3,5319.148936170212
207,Akshaya Nagar,3 BHK,1410.0,2.0,80.0,3,5673.758865248227
208,Akshaya Nagar,3 BHK,1662.0,3.0,85.0,3,5114.320096269555
209,Akshaya Nagar,3 BHK,1662.0,3.0,85.5,3,5144.404332129964
210,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687.5
211,Akshaya Nagar,3 BHK,1666.0,3.0,95.0,3,5702.280912364946
212,Akshaya Nagar,3 BHK,1575.0,3.0,90.0,3,5714.285714285715
213,Akshaya Nagar,3 BHK,1430.0,2.0,75.0,3,5244.755244755244
214,Akshaya Nagar,3 BHK,1419.0,2.0,73.0,3,5144.46793516561
215,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687.5
216,Akshaya Nagar,2 BHK,1092.0,2.0,60.0,2,5494.505494505494
219,Akshaya Nagar,3 BHK,1884.0,3.0,98.0,3,5201.698513800425
220,Akshaya Nagar,2 BHK,1314.0,2.0,68.8,2,5235.920852359209
222,Akshaya Nagar,2 BHK,1265.0,2.0,67.0,2,5296.442687747036
223,Akshaya Nagar,2 BHK,1126.0,2.0,55.0,2,4884.547069271758
224,Akshaya Nagar,3 BHK,1662.0,3.0,90.0,3,5415.162454873646
225,Akshaya Nagar,3 BHK,1420.0,2.0,75.0,3,5281.69014084507
226,Akshaya Nagar,3 BHK,1890.0,4.0,100.0,3,5291.005291005291
228,Akshaya Nagar,2 BHK,1113.0,2.0,52.0,2,4672.057502246182
229,Akshaya Nagar,3 BHK,1820.0,4.0,95.0,3,5219.780219780219
230,Akshaya Nagar,3 BHK,1896.0,3.0,102.0,3,5379.7468354430375
231,Akshaya Nagar,2 BHK,1300.0,2.0,66.0,2,5076.923076923077
232,Akshaya Nagar,2 BHK,1225.0,2.0,68.0,2,5551.0204081632655
233,Akshaya Nagar,3 BHK,1421.0,2.0,73.0,3,5137.227304714989
235,Akshaya Nagar,2 BHK,900.0,2.0,45.0,2,5000.0
236,Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787.330316742082
237,Ambalipura,3 BHK,1800.0,3.0,110.0,3,6111.111111111111
238,Ambalipura,2 BHK,1332.0,2.0,79.0,2,5930.930930930931
239,Ambalipura,2 BHK,1230.0,2.0,66.25,2,5386.178861788618
240,Ambalipura,2 BHK,1351.0,2.0,77.0,2,5699.481865284974
241,Ambalipura,2 BHK,1303.0,2.0,80.0,2,6139.677666922486
242,Ambalipura,1 BHK,770.0,1.0,43.82,1,5690.909090909091
243,Ambalipura,2 BHK,1060.0,2.0,58.5,2,5518.867924528302
244,Ambalipura,3 BHK,1650.0,3.0,100.0,3,6060.606060606061
245,Ambalipura,2 BHK,1198.0,2.0,80.0,2,6677.79632721202
246,Ambedkar Nagar,3 BHK,1935.0,4.0,130.0,3,6718.3462532299745
247,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320.224719101124
248,Ambedkar Nagar,3 BHK,1862.0,3.0,120.0,3,6444.68313641246
249,Ambedkar Nagar,3 BHK,1936.0,4.0,126.0,3,6508.264462809917
250,Ambedkar Nagar,3 BHK,1862.0,3.0,119.0,3,6390.977443609023
251,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320.224719101124
252,Ambedkar Nagar,3 BHK,1856.0,3.0,120.0,3,6465.517241379311
253,Ambedkar Nagar,3 BHK,1852.0,3.0,130.0,3,7019.438444924406
254,Ambedkar Nagar,3 BHK,1850.0,4.0,120.0,3,6486.486486486487
255,Ambedkar Nagar,2 BHK,1367.0,2.0,86.0,2,6291.148500365764
256,Ambedkar Nagar,2 BHK,1409.0,2.0,95.0,2,6742.370475514549
257,Ambedkar Nagar,3 BHK,1950.0,4.0,120.0,3,6153.846153846154
258,Ambedkar Nagar,3 BHK,1921.0,4.0,129.0,3,6715.252472670484
259,Ambedkar Nagar,3 BHK,1920.0,4.0,121.0,3,6302.083333333333
260,Ambedkar Nagar,3 BHK,1935.0,4.0,125.0,3,6459.948320413437
261,Ambedkar Nagar,3 BHK,1852.0,4.0,122.0,3,6587.473002159827
262,Ambedkar Nagar,3 BHK,1950.0,4.0,120.0,3,6153.846153846154
263,Ambedkar Nagar,3 BHK,1852.0,3.0,125.0,3,6749.460043196545
264,Ambedkar Nagar,3 BHK,1850.0,4.0,121.0,3,6540.540540540541
265,Ambedkar Nagar,2 BHK,1425.0,2.0,94.0,2,6596.491228070176
266,Ambedkar Nagar,3 BHK,2395.0,4.0,150.0,3,6263.048016701461
267,Amruthahalli,2 BHK,900.0,2.0,40.0,2,4444.444444444444
268,Amruthahalli,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
269,Amruthahalli,2 BHK,924.0,2.0,45.0,2,4870.12987012987
270,Amruthahalli,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
271,Amruthahalli,3 BHK,1450.0,2.0,85.0,3,5862.068965517241
272,Amruthahalli,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
273,Amruthahalli,2 BHK,1202.0,2.0,65.0,2,5407.65391014975
274,Amruthahalli,2 BHK,1340.0,2.0,75.0,2,5597.014925373134
275,Amruthahalli,3 BHK,1450.0,2.0,90.0,3,6206.896551724138
276,Anandapura,2 Bedroom,1200.0,2.0,58.0,2,4833.333333333333
277,Anandapura,2 Bedroom,900.0,2.0,48.0,2,5333.333333333333
278,Anandapura,4 Bedroom,1749.0,4.0,90.0,4,5145.797598627787
279,Anandapura,2 Bedroom,1200.0,2.0,58.0,2,4833.333333333333
280,Anandapura,3 Bedroom,1415.0,2.0,74.0,3,5229.681978798587
281,Anandapura,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
282,Anandapura,2 BHK,1141.0,2.0,50.0,2,4382.120946538124
283,Ananth Nagar,1 BHK,500.0,1.0,14.0,1,2800.0
284,Ananth Nagar,2 BHK,1100.0,2.0,31.5,2,2863.6363636363635
285,Ananth Nagar,1 BHK,500.0,2.0,14.0,1,2800.0
286,Ananth Nagar,2 BHK,908.0,2.0,26.0,2,2863.4361233480176
287,Ananth Nagar,1 BHK,500.0,1.0,14.0,1,2800.0
288,Ananth Nagar,2 BHK,1000.0,2.0,29.7,2,2970.0
289,Ananth Nagar,2 BHK,850.0,2.0,25.99,2,3057.6470588235293
290,Ananth Nagar,2 BHK,902.0,2.0,25.26,2,2800.4434589800444
291,Ananth Nagar,2 BHK,810.0,2.0,25.5,2,3148.1481481481483
292,Ananth Nagar,2 BHK,890.0,2.0,27.0,2,3033.7078651685392
293,Ananth Nagar,2 BHK,1200.0,2.0,36.0,2,3000.0
294,Ananth Nagar,3 BHK,1319.0,3.0,42.0,3,3184.230477634572
295,Ananth Nagar,2 BHK,902.0,2.0,25.0,2,2771.6186252771618
296,Ananth Nagar,2 BHK,930.0,2.0,25.99,2,2794.6236559139784
297,Ananth Nagar,1 BHK,500.0,1.0,14.0,1,2800.0
298,Anekal,2 BHK,656.0,2.0,22.0,2,3353.6585365853657
299,Anekal,2 BHK,620.0,2.0,22.0,2,3548.3870967741937
300,Anekal,1 BHK,530.0,1.0,18.0,1,3396.2264150943397
301,Anekal,3 Bedroom,1800.0,3.0,68.0,3,3777.777777777778
302,Anekal,2 BHK,1035.0,2.0,38.3,2,3700.483091787439
303,Anekal,2 BHK,888.0,2.0,34.0,2,3828.828828828829
304,Anekal,2 BHK,766.0,2.0,28.0,2,3655.3524804177546
305,Anekal,2 BHK,620.0,1.0,23.5,2,3790.3225806451615
306,Anekal,3 BHK,1150.0,3.0,45.0,3,3913.0434782608695
307,Anekal,1 BHK,456.0,1.0,15.0,1,3289.4736842105262
308,Anekal,3 Bedroom,2400.0,4.0,95.0,3,3958.3333333333335
309,Anekal,2 BHK,625.0,1.0,25.0,2,4000.0
310,Anjanapura,4 BHK,1850.0,4.0,86.0,4,4648.648648648648
311,Anjanapura,2 BHK,1070.0,2.0,39.0,2,3644.8598130841124
312,Anjanapura,2 BHK,1070.0,2.0,37.0,2,3457.9439252336447
313,Anjanapura,2 BHK,950.0,2.0,40.0,2,4210.526315789473
314,Anjanapura,3 BHK,1280.0,2.0,45.0,3,3515.625
315,Anjanapura,2 BHK,710.0,2.0,25.0,2,3521.1267605633802
316,Anjanapura,2 BHK,950.0,2.0,32.0,2,3368.4210526315787
317,Anjanapura,4 BHK,1800.0,4.0,55.0,4,3055.5555555555557
318,Anjanapura,3 BHK,1843.0,3.0,87.54,3,4749.864351600651
319,Anjanapura,2 BHK,1076.0,2.0,30.13,2,2800.185873605948
320,Anjanapura,2 BHK,950.0,2.0,30.0,2,3157.8947368421054
321,Ardendale,3 BHK,1750.0,3.0,100.0,3,5714.285714285715
322,Ardendale,4 BHK,3198.0,4.0,200.0,4,6253.908692933083
323,Ardendale,3 BHK,1750.0,3.0,100.0,3,5714.285714285715
324,Ardendale,4 Bedroom,3200.0,4.0,205.0,4,6406.25
325,Ardendale,3 BHK,1728.0,3.0,95.0,3,5497.685185185185
326,Ardendale,3 BHK,1732.46,3.0,92.0,3,5310.367916142364
327,Ardendale,2 BHK,1224.0,2.0,70.0,2,5718.954248366013
328,Ardendale,3 BHK,1777.26,3.0,105.0,3,5907.970696465346
329,Ardendale,2 BHK,1224.0,2.0,67.0,2,5473.856209150327
330,Ardendale,3 BHK,1723.0,3.0,95.0,3,5513.6390017411495
331,Ardendale,3 BHK,1777.26,3.0,92.0,3,5176.507657855351
332,Arekere,3 BHK,2060.0,3.0,140.0,3,6796.116504854369
333,Arekere,2 BHK,920.0,2.0,40.0,2,4347.826086956522
334,Arekere,3 BHK,1740.0,2.0,95.0,3,5459.770114942528
335,Arekere,2 BHK,1190.0,2.0,55.0,2,4621.848739495798
336,Arekere,1 BHK,600.0,1.0,28.0,1,4666.666666666667
337,Arekere,3 BHK,2072.0,3.0,108.0,3,5212.355212355213
338,Arekere,2 BHK,1100.0,2.0,55.0,2,5000.0
339,Arekere,2 BHK,900.0,2.0,50.0,2,5555.555555555556
340,Arekere,2 BHK,1240.0,2.0,60.0,2,4838.709677419355
341,Arekere,2 BHK,900.0,2.0,44.5,2,4944.444444444444
342,Attibele,4 Bedroom,1600.0,4.0,52.8,4,3300.0
343,Attibele,2 BHK,656.0,2.0,25.0,2,3810.9756097560976
344,Attibele,1 BHK,400.0,1.0,11.0,1,2750.0
345,Attibele,1 BHK,400.0,1.0,12.0,1,3000.0
346,Attibele,1 BHK,400.0,1.0,14.0,1,3500.0
347,Attibele,1 BHK,500.0,1.0,17.0,1,3400.0
348,Attibele,1 BHK,395.0,1.0,10.25,1,2594.9367088607596
349,Attibele,1 BHK,420.0,1.0,17.0,1,4047.6190476190477
350,Attibele,1 BHK,418.0,1.0,12.0,1,2870.813397129187
